"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPE29",0.214229403355119,-0.00176751902711011,0.430226325737349,0.0207571445330426,1.96779332327737,0.0518679728412773,0.363239758682158,-4.01510985642751,0.214229403355119,0.0518679728412773,0.363239758682158,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(18:1e/22:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE30",0.0840267175319866,-0.127418953520043,0.295472388584016,0.255776078576655,0.788436221071925,0.432311093074532,0.637475679618378,-4.7688833816504,0.0840267175319866,0.432311093074532,0.637475679618378,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(18:2e/22:6)",NA,NA,"Glycerophospholipids","ns"
"MG02",0.445032488355744,0.0893310917172666,0.800733884994222,-0.269423999291962,2.48238984481738,0.0147249289701747,0.363239758682158,-3.50564379381201,0.445032488355744,0.0147249289701747,0.363239758682158,"Glycerolipids","Monoacylglycerols","MG(16:0/0:0/0:0)","HMDB11564",NA,"Glycerolipids","Glycerolipids"
"MG06",0.320133286842621,-0.0982157965710497,0.738482370256292,1.3380570205067,1.51829391526155,0.132112401398974,0.387430750170024,-4.3739031823855,0.320133286842621,0.132112401398974,0.387430750170024,"Glycerolipids","Monoacylglycerols","MG(18:2(9Z,12Z)/0:0/0:0)","HMDB11568",NA,"Glycerolipids","ns"
"SphLip_02",0.0277808730646015,-0.161462589756184,0.217024335885387,-0.246005628885471,0.291254719521064,0.771461200181708,0.871650966439073,-4.89695891700228,0.0277808730646015,0.771461200181708,0.871650966439073,"Sphingolipids","Sphingomyelin","SM(d18:0/14:0)","HMDB12085","C00550","Sphingolipids","ns"
"SphLip_03",-0.038532948732455,-0.231026380581348,0.153960483116438,-0.217462099927366,-0.397158897927978,0.692098685868624,0.813683590142841,-4.87950273634282,-0.038532948732455,0.692098685868624,0.813683590142841,"Sphingolipids","Sphingomyelin","SM(d18:0/15:0)",NA,NA,"Sphingolipids","ns"
"SphLip_04",-0.0219879460976719,-0.14463345961954,0.100657567424196,-0.717473686934667,-0.355697624897289,0.722818024813603,0.83846890878378,-4.8869741583539,-0.0219879460976719,0.722818024813603,0.83846890878378,"Sphingolipids","Sphingomyelin","SM(d18:0/16:0)","HMDB10168","C00550","Sphingolipids","ns"
"SphLip_05",0.0969328872129335,-0.177753202205802,0.371618976631669,-0.313397067455286,0.700140036616187,0.485470111598017,0.663391094906191,-4.80014546634827,0.0969328872129335,0.485470111598017,0.663391094906191,"Sphingolipids","Sphingomyelin","SM(d18:0/18:0)","HMDB12087","C00550","Sphingolipids","ns"
"SphLip_06",0.153123157257543,-0.144245343596721,0.450491658111807,-0.206857380407043,1.02165031107569,0.309421348760972,0.53720686186427,-4.66889689764127,0.153123157257543,0.309421348760972,0.53720686186427,"Sphingolipids","Sphingomyelin","SM(d18:0/22:0)","HMDB12091","C00550","Sphingolipids","ns"
"SphLip_07",0.0193299616455391,-0.198588592170334,0.237248515461412,-0.302323654828216,0.17598868725718,0.86065956470499,0.910015844970418,-4.90986669955023,0.0193299616455391,0.86065956470499,0.910015844970418,"Sphingolipids","Sphingomyelin","SM(d18:1/12:0)","HMDB12096","C00550","Sphingolipids","ns"
